base_id	solapa	uso	origen	fila_encabezado	firma_encabezado	filas_datos	filas_crudas	notas
rdv	Para Revisar	ignorar	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · Semaforo politico · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Masculinos · Femeninos · 18-24 · 25-39 · 40-55 · 56-65 · 66+ · Sin identificar	729	729	copias de trabajo
rdv	Copia de Para Revisar 1	ignorar	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Masculinos · Femeninos · 18-24 · 25-39 · 40-55 · 56-65 · 66+ · Sin identificar	404	1404	copias de trabajo
rdv	Tabla dinámica 20	ignorar	seed	1	Barrio · COUNTA de Barrio	51	51	pivots
rdv	Tabla dinámica 19	ignorar	seed	1	COUNTA de Figura · Figura	52	52	pivots
rdv	Tabla dinámica 16	ignorar	seed	1	Columnas · #REF! · STATUS REUNIÓN	16	21	pivots
rdv	Copia de Para Revisar	ignorar	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · % de Asistencia · Direccion2 · Falta Informacion · ID · Comuna · Poblacion · p. Mujer · P. Varon · (km2) · (hab/km2) · Zona · Masculinos · Femeninos · 18-24 · 25-39 · 40-55 · 56-65 · 66+ · Sin identificar	333	333	copias de trabajo
rdv	Tabla dinámica 18	ignorar	seed	1	Figura · COUNTA de Figura	17	17	pivots
rdv	Tabla dinámica 14	ignorar	seed	1	Día de la semana · SUM de Asistentes · MAX de Asistentes · AVERAGE de Asistentes · COUNTA de Asistentes · Día de la semana · SUM de Asistentes · MAX de Asistentes · AVERAGE de Asistentes · COUNTA de Asistentes	8	8	pivots
rdv	Hoja 59	ignorar	seed	1	Barrio	49	49	hojas sueltas
rdv	Hoja 56	ignorar	seed	1	inscrptos · asistentes · mail · call canter · territorio · redes	5	5	hojas sueltas
rdv	Seguimiento	ignorar	manual	1	Equipo  solicitante · Pedido · Fecha de pedido · Fecha de entrega · Equipos involucrados en el proyecto · Temas  - Observaciones · Modo de presentación · Estado del pedido · Link al documento	19	19	sin decidir
rdv	RDV_JM_CM_ES	ignorar	manual	1	funcionario_principal_evento · barrio_evento · dia_evento · fecha_inicio_evento · hora_cita_evento · direccion_evento · Inscriptos · Asistentes · estado_evento	2	2	nombre casi idéntico al default — ¿duplicado?
rdv	Funcionarios / Ministros	referencia	manual	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones	1011	1011	posible catálogo de personas — cruzar con PERSONAS_equivalencias.csv
rdv	Desplegables	ignorar	seed	1	Estado Campaña · Estado Respuesta · Implementadores viejos · Implementadores · Tipo de mail · Ministerios · Área · Eje · Remitente · Taggeo Campaña · Taggeo Gestion · Tipo de respuesta · Tipo herramientas · Link · Barrios · Dirigentes	50	50	validaciones y material suelto
rdv	Respuestas JM 📩	ignorar	manual	1	Comunicacion Directa | Tablero de respuestas Unicas	3693	3693	sin decidir
rdv	Backup respuestas	ignorar	seed	1	Comunicacion Directa | Tablero de respuestas Unicas	3882	3882	backup
rdv	Tabla dinámica 4	ignorar	seed	1	#REF!	1	1	pivots
rdv	Visualiz_respuestas_GCBA	derivada	seed	1	Estado · Fecha · Moderador · Respuesta del vecino · Respuesta  de GCBA · PPT O NO · Tipo respuesta Campaña · Eje Solicitud · Origen · Campaña · Asunto · Eje · Sub Eje · pieza (link crudo) · Mes · Pieza_imagen	17690	17690	vistas
rdv	Visualiz_respuestas_JM	derivada	seed	1	Estado · Fecha · Moderador · Respuesta del vecino · Respuesta  de GCBA · PPT O NO · Tipo respuesta Campaña · Eje Solicitud · Origen · Campaña · Asunto · Eje · Sub Eje · pieza (link crudo) · Mes · Pieza_imagen	12130	12130	vistas
rdv	Visualiz_mail	derivada	seed	1	Estado · Implementador · Fecha envio · Mail_remitente · Mail remitente · Campaña · Enviados · Entregados · Aperturas · % OR · Clics · % CTOR · Segmentacion · No apertores · Nomenclatura · Asunto · Eje · Area · Heramienta · Pieza	2640	2640	vistas
rdv	Visualiz_SMS	derivada	seed	1	Estado · Implementador · Fecha de envio · Cuenta · Campaña · Audiencia · Enviados · Entregados · %  Entregados · Segmentacion · ID Campaña · ID Envio · Eje · Area · Nomenclatura · Texto · Bitly	35	35	vistas
rdv	Organigrama	ignorar	seed	1	Rol · Mail · Eje	11	11	validaciones y material suelto
rdv	Mail propuesta	ignorar	seed	1	Informacion de la implementacion (manual por implementador · INFO QUE TRAE BASE MAILUP · Quedan por fuera de todas las bases · INFO QUE TRAE  POR ID BASE CUENTAS · Identificacion de campaña	722	1491	validaciones y material suelto
digital	Digital	fuente	seed	1	Nombre campaña | Digital · JM | GCBA | POLICIA · Eje · Audiencia · Fecha de inicio · Fecha de fin · Estado · Impresiones · Alcance · Frecuencia · Views · VTR · Clics en el enlace totales · Clics (campañas de clics) · CTR · Costo · Presupuesto · Formatos · Tipo de campaña · ID Cuentas · Impresiones Social	1295	1298	hoja_default
digital	Filter unificado	revisar	seed	1	Fri Nov 28 2025 00:00:00 GMT-0300 (hora estándar de Argentina) · Fri Dec 05 2025 00:00:00 GMT-0300 (hora estándar de Argentina)	80	80	sin decidir
digital	EDV	revisar	seed	1	Información del encuentro · Mail · Digital · Call Center	291	291	sin decidir
digital	Cuentas	revisar	seed	1	N° campaña · Sigla mes · Sigla área · Sigla pedido · ID Cuentas · Fecha de alta · Tipo de pedido · Campaña · Tipo de Campaña · Ejecutiva · Fecha de inicio · Fecha de fin · Mes de alta · Estado campaña · Eje · Área · Proyecto · Mes de inicio · Comentarios · Brief · Estrategia · PM · URL · Reporte · Remitente · Estado · Funcionario · Fecha · Barrio · Comuna · Tipo de evento · Validación Estado	3459	4399	sin decidir
digital	Directa Mail	fuente	seed	1	ID Cuentas · ID MailUp · Listado de Mail · Estado · Implementador · Fecha envio · Mail remitente · Nombre campaña | Directa · Tipo de mail · Segmentacion · Nomenclatura · Pieza · Enviados · Entregados · Aperturas · % OR · Clics · % CTOR · Asunto · Área · #REF! · Tag Orion Mail · Proyecto · Eje · ERROR	2115	2115	canales de directa
digital	Directa IVR	fuente	seed	1	ID cuentas · Estado · Implementador · Inicio · Fin · Dias · Vocero · Telefono · Nombre campaña | Directa · Audiencia · Llamados Realizados · Llamados Atendidos · % Atendidos · Escucharon  +75% · % +75% · Marque 1 · % Marque 1 · Segmentacion · Área · Eje · Audio · Mes	58	58	canales de directa
digital	Directa SMS	fuente	seed	1	ID cuentas · Estado · Implementador · Fecha de envio · Nombre campaña | Directa · Enviados · Entregados · % Entregados · Clics · % Clics · Segmentacion · Texto SMS · Link · Área	44	44	canales de directa
digital	CAMPAÑAS_DESGLOCE_DIGITAL	revisar	seed	1	Id accion · Id cuentas · Año · Mes · Nombre Campaña · Plataforma · Cuenta · Eje · Fecha inicio · Fecha fin · Estado · Nomenclatura · Presupuesto · Consumo · Impresiones · Visualizaciones · Clics · Objetivo · Tipo Campaña · JM | GCBA | POLICIA · Prioridad · nombre_campaña · eje · area · estado · proyecto	4591	4591	sin decidir
digital	Seguimiento digital	fuente	seed	1	ID Cuentas · Nombre campaña | Cuentas · Nombre campaña | Digital · Mes · JM | GCBA | POLICIA · Encargado PM · Tipo de campaña · Prioridad · Área · Eje · Audiencia · Fecha de inicio · Fecha de fin · Estado · BRIEF · PM · PLANI · URL · Comentarios · Google · Programmatic · Meta · X · TikTok · Twitter · Eje Cuentas · Proyecto · Área Cuentas	980	980	maestra de la unión del Paso 2.4
digital	m2 digital	derivada	seed	1	ID · Nombre de la campaña · Fecha de inicio · Fecha de fin · Estado · Impresiones · Alcance · Frecuencia · Views · % VTR · Clics · % CTR	43	1001	acumulados
digital	Digital 2026 acumulado	derivada	seed	1	Id · Nombre de la campaña · Fecha de inicio · Fecha de fin · Estado · Impresiones · Views · Clics · % CTR · Frecuencia · Alcance	683	1001	acumulados
digital	Buscador por periodo digital	referencia	seed	1	Periodo · Desde · Hasta	41	1002	vista con período manual en celda editable — no es fuente; ver VALIDACION_2026-07-31 §1.2
digital	Buscador por periodo directa	referencia	seed	1	Periodo: · Desde · Hasta	8	1000	vista con período manual en celda editable — no es fuente; ver VALIDACION_2026-07-31 §1.2
digital	Mail per	referencia	seed	0	(sin fila de títulos)	6	6	vista con período manual en celda editable — no es fuente; ver VALIDACION_2026-07-31 §1.2
digital	Alcance	fuente	seed	1	ID Cuentas · Alcance · Frecuencia · eje · area · nombre_campaña	740	740	usada por Union.gs
digital	RDV	ignorar	seed	1	Figura · Barrio · EVENTO · Día de la semana · FECHA · HORA · Dirección · One Page Entregado · STATUS REUNIÓN · Observaciones · Inscriptos · Mail · Call Center · IVR · RRSS · Difusión · Asistentes · Oradores anotados · Oradores que hablaron · Temas mas comentados · Semaforo politico · Síntesis cualitativa: · % de Asistencia · Direccion2 · Falta Informacion · ID	721	1363	⚠ duplica la base rdv — si se lee, hay doble conteo
digital	Nomalización de barrios	referencia	seed	1	Barrio/comuna · Funcionario · Barrio · Fecha · Estado · Enviados · Entregados · Aperturas · % OR · Clics · % CTOR · Habitantes · Alcance manual · Alcance potencial · % Cobertura · Frecuencia Meta · Impresiones Totales · Impresiones Social · Impresiones Google · Impresiones Programm · Clics DIG · % CTR · Base total · Base discada · Contactados · % Cont. · Efectivos · % Efect. · Audiencia · Llamados realizados · Llamados atendidos · % Atendidos · Escucharon +75% · % Escucha +75% · Marque 1	80	268	catálogos de normalización — útiles para el scoring del anclaje
digital	RDV JM 2 VECES	referencia	seed	1				texto pegado — no es fuente ni control. No usar (Paso 2.9 Parte C.4; antes decía "usar para validar el scoring/umbral 0.6", ver docs/DISENO_match_temario.md §9).
digital	Metricas informe	referencia	seed	1	nOMBRE · Barrio · Fecha · OR · Cobertura · CTR · Efectividad · Escucha +75%	2	2	el informe manual actual
digital	INFORME	referencia	seed	1	Nombre · Barrio · Fecha · Enviados · Entregados · Aperturas · Or · Clics · Habitantes · Alcance · Cobertura · Impresiones · Clics · Contactados · Efectivos · Llamados atendidos · Escucharon +75%	2	2	el informe manual actual
digital	Limpia Fun	referencia	seed	1	Nombre · Barrio · Fecha 1ra vuelta · Enviados 1ra vuelta · Entregados 1ra vuelta · Aperturas 1ra vuelta · Or 1ra vuelta · Clics Directa 1ra vuelta · Habitantes 1ra vuelta · Alcance 1ra vuelta · Cobertura 1ra vuelta · Impresiones 1ra vuelta · Clics Digital 1ra vuelta · Contactados 1ra vuelta · Efectivos 1ra vuelta · Llamados atendidos 1ra vuelta · Escucharon +75% 1ra vuelta · Fecha 2da vuelta · Enviados 2da vuelta · Entregados 2da vuelta · Aperturas 2da vuelta · Or 2da vuelta · Clics Directa 2da vuelta · Habitantes 2da vuelta · Alcance 2da vuelta · Cobertura 2da vuelta · Impresiones 2da vuelta · Clics Digital 2da vuelta · Contactados 2da vuelta · Efectivos 2da vuelta · Llamados atendidos 2da vuelta · Escucharon +75% 2da vuelta	35	35	catálogos de normalización — útiles para el scoring del anclaje
digital	Barrio Hab	referencia	seed	1	Barrio · Habitantes	49	49	catálogos de normalización — útiles para el scoring del anclaje
looker	resumen_metricas_dinamico	fuente	manual	1	id_cuentas · nombre_campaña · fecha_inicio · fecha_fin · eje · area · estado · digital_impresiones · digital_visualizaciones · digital_clics · meta_alcance · meta_frecuencia · frecuencia_total · mails_enviados · mails_entregados · mails_aperturas · mails_clics · call_enviado · call_discado · call_contactados · call_efectivos · ivr_audiencia · ivr_realizados · ivr_atendidos · ivr_escucha75 · ivr_marque1 · sms_enviados · sms_entregados · sms_clics · pieza_meta · pieza_mail	908	908	Paso 2.9 Parte C — ver docs/SUPUESTOS.md S-01
looker	resumen_metricas	derivada	manual	1	id_cuentas · nombre_campaña · fecha_inicio · fecha_fin · eje · area · estado · digital_impresiones · digital_visualizaciones · digital_clics · meta_alcance · meta_frecuencia · frecuencia_total · mails_enviados · mails_entregados · mails_aperturas · mails_clics · call_enviado · call_discado · call_contactados · call_efectivos · ivr_audiencia · ivr_realizados · ivr_atendidos · ivr_escucha75 · ivr_marque1 · sms_enviados · sms_entregados · sms_clics · pieza_meta · pieza_mail	908	908	Paso 2.9 Parte C — ver docs/SUPUESTOS.md S-01
looker	Cuentas	revisar	seed	1	id_cuentas · nombre_campaña · fecha_inicio · fecha_fin · eje · area · estado · estado_cuentas	966	966	sin decidir
looker	MAIL	fuente	seed	1	ID cuentas · Enviados · Entregados · Aperturas · Clics	5760	5760	detalle por canal, con ID cuentas
looker	IVR	fuente	seed	1	ID cuentas · Audiencia · Llamados Realizados · Llamados Atendidos · Escucharon  +75% · Marque 1	192	192	detalle por canal, con ID cuentas
looker	SMS	fuente	seed	1	ID cuentas · Enviados · Entregados · Clics	92	92	detalle por canal, con ID cuentas
looker	CC	fuente	seed	1	ID Cuentas · Base enviada · Base barrida · Contactados · Efectivos	1309	1309	detalle por canal, con ID cuentas
looker	DIGITAL	fuente	seed	1	Id cuentas · Plataforma · Impresiones · Visualizaciones · Clics · nombre_campaña · eje · area · estado	4591	4591	detalle por canal, con ID cuentas
looker	ALCANCE	fuente	seed	1	ID Cuentas · Alcance · Frecuencia · eje · area · nombre_campaña	740	740	detalle por canal, con ID cuentas
looker	URLs	revisar	seed	1	id_cuentas · nombre_campaña · pieza_mail · id_cuentas · nombre_campaña · pieza_meta	2115	2115	sin decidir
looker	Desglose Alcance	revisar	seed	1	Nombre ok · Nombre digital · Plataforma · Alcance · Impresiones · Frecuencia · Clics · Visualizaciones · Alcance unificado	270	270	sin decidir
looker	Audiencias	revisar	seed	1	Segmentacion · Tipo · Audiencias Potenciales · Área	304	304	sin decidir
looker	Audiencias Conectadas	revisar	seed	1	Id Cuenta · Campaña · Audiencia Sugerida · Descripcion · Personas C/Dato de Contacto · Categoria · Estado	2	2	sin decidir
looker	Desplegables	ignorar	seed	1	Tipo de pedido · Recategorización · Equipo · Estado · Recategorización	14	14	validaciones
m2	Cuentas	revisar	seed	1	ID Cuentas · Fecha de alta · Tipo de pedido · Campaña · Tipo de Campaña · Ejecutiva · Fecha de inicio · Fecha de fin · Mes de alta · Estado campaña · Eje · Área · Proyecto · Mes de inicio · Comentarios · Brief · Estrategia · PM · URL · Reporte · Remitente · Estado	3458	3458	3453 filas, mismo encabezado — parece el universo completo, no solo M2
m2	Cuentas M2	fuente	seed	1	ID Cuentas · Fecha de alta · Tipo de pedido · Campaña · Tipo de Campaña · Ejecutiva · Fecha de inicio · Fecha de fin · Mes de alta · Estado campaña · Eje · Área · Proyecto · Mes de inicio · Comentarios · Brief · Estrategia · PM · URL · Reporte · Remitente · Estado	354	354	353 filas, encabezado fila 1 — dimensión de campañas M2
m2	Directa mail	derivada	seed	1	ID Cuentas · ID MailUp · Listado de Mail · Estado · Implementador · Fecha envio · Mail remitente · Nombre campaña | Directa · Tipo de mail · Segmentacion · Nomenclatura · Pieza · Enviados · Entregados · Aperturas · % OR · Clics · % CTOR · Asunto · Área · #REF! · Tag Orion Mail · Proyecto · Eje · ERROR	2115	2115	espejo de digital/Directa Mail — ver Paso 2.10 Parte C
m2	Digital acumulado	derivada	seed	1	Id · Nombre de la campaña · Fecha de inicio · Fecha de fin · Estado · Impresiones · Alcance · Frecuencia · Views · Clics · % CTR	683	1000	acumulados
m2	Seguimiento digital	revisar	seed	1	ID Cuentas · Nombre campaña | Cuentas · Nombre campaña | Digital · Mes · JM | GCBA | POLICIA · Encargado PM · Tipo de campaña · Prioridad · Área · Eje · Audiencia · Fecha de inicio · Fecha de fin · Estado · BRIEF · PM · PLANI · URL · Comentarios · Google · Programmatic · Meta · X · TikTok · Twitter · Eje Cuentas · Proyecto · Área Cuentas	980	980	⚠ mismos nombres que solapas de digital — hay que saber cuál manda antes de mapear ninguna
m2	CAMPAÑAS_DESGLOCE_DIGITAL	revisar	seed	1	Id accion · Id cuentas · Año · Mes · Nombre Campaña · Plataforma · Cuenta · Eje · Fecha inicio · Fecha fin · Estado · Nomenclatura · Presupuesto · Consumo · Impresiones · Visualizaciones · Clics · Objetivo · Tipo Campaña · JM | GCBA | POLICIA · Prioridad · nombre_campaña · eje · area · estado · proyecto	4591	4591	⚠ mismos nombres que solapas de digital — hay que saber cuál manda antes de mapear ninguna
m2	Alcance	revisar	seed	1	ID Cuentas · Alcance · Frecuencia · eje · area · nombre_campaña	740	740	⚠ mismos nombres que solapas de digital — hay que saber cuál manda antes de mapear ninguna
m2	M2 Directa	revisar	seed	1	ID cuentas · ID MailUp · Listado de Mail · Estado · Implementador · Fecha envio · Mail remitente · Nombre campaña | Directa · M2 · Segmentacion · Nomenclatura · Pieza · Enviados · Entregados · Aperturas · % OR · Clics · % CTOR · Asunto · Área · Nombre campaña | Cuentas · Tipo de mail · Proyecto · Eje · ERROR	35	35	clasificación invertida, pendiente de confirmar (Paso 2.9 Parte C.5)
m2	M2 digital	revisar	seed	1	ID Cuentas · Nombre campaña | Cuentas · Nombre campaña | Digital · Mes · JM | GCBA | POLICIA · Encargado PM · Tipo de campaña · Prioridad · Área · Eje · Audiencia · Fecha de inicio · Fecha de fin · Estado · BRIEF · PM · PLANI · URL · Comentarios · Google · Programmatic · Meta · X · TikTok · Twitter · Eje · Proyecto · Área	68	68	clasificación invertida, pendiente de confirmar (Paso 2.9 Parte C.5)
m2	M2 periodo DIGITAL	referencia	seed	3	ID · Nombre de la campaña · Fecha de inicio · Fecha de fin · Estado · Impresiones · Alcance · Frecuencia · Views · % VTR · Clics · % CTR	15	2414	vista con período manual en celda editable — no es fuente; ver VALIDACION_2026-07-31 §1.2
m2	M2 periodo DIRECTA	referencia	seed	3	ID · Nombre de la campaña · Fecha de envio · Enviados · Entregados · Aperturas · OR% · Clics · % CTOR	23	29534	vista con período manual en celda editable — no es fuente; ver VALIDACION_2026-07-31 §1.2
m2	Mail per	referencia	seed	0	(sin fila de títulos)	108	108	vista con período manual en celda editable — no es fuente; ver VALIDACION_2026-07-31 §1.2
