marcador	familia	informe_id	base_id	solapa	campo_logico	periodo_ref	operacion	valor_fijo	filtro	dimensiones	formato	catalogo	separador	notas
ecv_insc_ivr	ecv	jm	rdv	RVD JM-CM - ES	insc_ivr		SUMA			ambito=jm	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_insc_digital	ecv	jm	rdv	RVD JM-CM - ES	insc_digital		SUMA			ambito=jm	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
ecv_insc_dif	ecv	jm	rdv	RVD JM-CM - ES	insc_dif		SUMA			ambito=jm	numero			Lote de la lamina 5 (08/08). Filtro por R-15 addendum 1: rdv trae todo el gabinete.
imp_meta	imp	jm	digital	CAMPAÑAS_DESGLOCE_DIGITAL	des_impresiones		SUMA			ambito=jm && plataforma=meta	miles			R-24: Meta por igualdad exacta. Fuente: looker/DIGITAL, que no tiene columna temporal propia y toma la ventana de looker/Cuentas por pertenencia (R-25). Corte JM por R-23 sobre nombre_campaña. Cableado 10/08/2026 por el _25.
imp_google	imp	jm	digital	CAMPAÑAS_DESGLOCE_DIGITAL	des_impresiones		SUMA			ambito=jm && plataforma=google	miles			R-24: Google ads por igualdad exacta. Fuente: looker/DIGITAL, que no tiene columna temporal propia y toma la ventana de looker/Cuentas por pertenencia (R-25). Corte JM por R-23 sobre nombre_campaña. Cableado 10/08/2026 por el _25.
imp_prog	imp	jm	digital	CAMPAÑAS_DESGLOCE_DIGITAL	des_impresiones		SUMA			ambito=jm && plataforma=programmatic	miles_revisar			R-24: POR RESTA, no por lista. Una lista explicita escrita el 10/08 ya estaba incompleta ese mismo dia (aparecieron Twitch y Uber, y Twitch con un espacio al final). Por resta un valor mal escrito cae del lado correcto; por lista desaparece sin fallar. Fuente: looker/DIGITAL, que no tiene columna temporal propia y toma la ventana de looker/Cuentas por pertenencia (R-25). Corte JM por R-23 sobre nombre_campaña. Cableado 10/08/2026 por el _25.
gcba_imp_meta	imp	jm	digital	CAMPAÑAS_DESGLOCE_DIGITAL	des_impresiones		SUMA			ambito=gcba && plataforma=meta	miles_revisar			R-24 con el corte invertido. Fuente: looker/DIGITAL, que no tiene columna temporal propia y toma la ventana de looker/Cuentas por pertenencia (R-25). Corte JM por R-23 sobre nombre_campaña. Cableado 10/08/2026 por el _25.
gcba_imp_google	imp	jm	digital	CAMPAÑAS_DESGLOCE_DIGITAL	des_impresiones		SUMA			ambito=gcba && plataforma=google	miles_revisar			R-24 con el corte invertido. Fuente: looker/DIGITAL, que no tiene columna temporal propia y toma la ventana de looker/Cuentas por pertenencia (R-25). Corte JM por R-23 sobre nombre_campaña. Cableado 10/08/2026 por el _25.
gcba_imp_prog	imp	jm	digital	CAMPAÑAS_DESGLOCE_DIGITAL	des_impresiones		SUMA			ambito=gcba && plataforma=programmatic	miles_revisar			R-24 por resta, con el corte invertido. Del lado GCBA es donde viven las plataformas chicas (TikTok, Twitch con espacio, Mercado Libre): del lado JM no hay ninguna. Fuente: looker/DIGITAL, que no tiene columna temporal propia y toma la ventana de looker/Cuentas por pertenencia (R-25). Corte JM por R-23 sobre nombre_campaña. Cableado 10/08/2026 por el _25.
m2_envios	m2	jm	digital	Directa Mail	mail_id_cuenta		CONTEO			tipo_envio=m2	miles			SIN VALIDAR - demo 12/08. Cableado 11/08 por el _27 2.2 sobre la lamina 9 (visible). Clasificador de X-12: Tipo de mail CONTIENE M2 (col I). X-12 lo declaraba NO expresable en MARCADORES.filtro; esa premisa vencio con el _24, que trajo ~=. Universo NO acotado por Enviados!=0, que X-12 si excluia y el filtro no expresa.
m2_mails_enviados	m2	jm	digital	Directa Mail	mail_enviados		SUMA			tipo_envio=m2	miles			SIN VALIDAR - demo 12/08. _27 2.2. Caso X-13: publicado 902.703, medido 927.030 (residuo 2,7%) - conteo exacto, suma no.
m2_mails_entregados	m2	jm	digital	Directa Mail	mail_entregados		SUMA			tipo_envio=m2	miles			SIN VALIDAR - demo 12/08. _27 2.2. Caso X-14.
m2_aperturas	m2	jm	digital	Directa Mail	mail_aperturas		SUMA			tipo_envio=m2	miles			SIN VALIDAR - demo 12/08. _27 2.2. Caso X-15.
m2_clics	m2	jm	digital	Directa Mail	mail_clics		SUMA			tipo_envio=m2	miles			SIN VALIDAR - demo 12/08. _27 2.2. Sin caso de validacion propio.
m2_or	m2	jm	digital	Directa Mail	mail_aperturas/mail_entregados		PCT			tipo_envio=m2	porcentaje_sin_signo			SIN VALIDAR - demo 12/08. _27 2.2. Misma forma que mail_or y gcba_mail_or: PCT sobre los agregados, no promedio de la columna mail_or - promediar una tasa por fila es la trampa que N2 dejo escrita para frecuencia.
m2_ctor	m2	jm	digital	Directa Mail	mail_clics/mail_aperturas		PCT			tipo_envio=m2	porcentaje_sin_signo			SIN VALIDAR - demo 12/08. _27 2.2. CTOR = clics sobre aperturas. Mismo criterio que m2_or.
ecv_barrio	ecv	jm	rdv	RVD JM-CM - ES	barrio		ULTIMO			ambito=jm				_28 (11/08) - el barrio de ESTE encuentro. Vive solo en la lamina 6, que es la modelo de la seccion encuentro, asi que se resuelve contra la fila de rdv del item (_28) y no contra la ventana. Quedo sin duenio porque el comentario de ecv_alcance_semanal en SEED_SECCIONES_ lo excluye de la familia con razon - es prefijo de ecv_barrio1/2/3 y tokenEsDeFamilia_ compara con indexOf(f)===0 - pero esa exclusion no lo cableaba en ningun otro lado. ULTIMO sobre una sola fila devuelve el valor de esa fila.
ecv_poblacion	ecv	jm	rdv	RVD JM-CM - ES	poblacion		ULTIMO			ambito=jm	miles			_28 (11/08) - habitantes del barrio de ESTE encuentro, columna AB de rdv. Mismo caso que ecv_barrio: solo en la lamina 6 y depende de la fila del item.
ivr_75	ivr	jm	digital	Directa IVR	ivr_e75		SUMA			ambito=jm	miles_revisar			SIN VALIDAR - demo 12/08. _31.1 Parte C, lamina 5. MAPEO ya tenia ivr_e75 (col N). Sin filtro, igual que el resto de la familia ivr_ de esta lamina.
ivr_75_pct	ivr	jm	digital	Directa IVR	ivr_e75/ivr_atendidos		PCT			ambito=jm	porcentaje_sin_signo_revisar			SIN VALIDAR - demo 12/08. _31.1 Parte C. Calca la forma de ivr_at_pct, que es PCT ivr_atendidos/ivr_llamados: cada porcentaje del embudo es la etapa sobre la anterior (llamados -> atendidos -> e75 -> marque1). PCT sobre los agregados y no promedio de la columna ivr_e75_pct, por el mismo motivo que m2_or.
ivr_marque1	ivr	jm	digital	Directa IVR	ivr_marque1		SUMA			ambito=jm	miles_revisar			SIN VALIDAR - demo 12/08. _31.1 Parte C. MAPEO ya tenia ivr_marque1 (col P).
enc_evento	enc	jm	rdv	RVD JM-CM - ES	evento		ULTIMO			ambito=jm				SIN VALIDAR - demo 12/08. _35 Parte C: el EVENTO de ESTE encuentro, para la caratula de la lamina 4. ULTIMO y no TEXTO -- opTEXTO devuelve valor_fijo, un literal, y habria publicado vacio en las seis laminas (correccion del _35.1). Se resuelve por item con la rama de rdv de opciones.fila_rdv (f9443d1), la misma que ya prueba ecv_barrio leyendo del deck. El nombre empieza con enc_ para caer en familia_tokens de encuentro y no es prefijo de ningun token existente ni tiene a otro como prefijo. El valor sale CRUDO, sin normalizar: hay cinco pares escritos distinto y normalizar aca seria fijar un catalogo por la puerta de atras (_34).
enc_base_total	enc	jm	reuniones	Agenda JM	cc_base_total		ULTIMO		cc_base_total!=0		numero			_44 (12/08) - embudo del iceberg contra reuniones/Agenda JM (C-58). Lee la fila del encuentro por D-30 (SOLAPAS.campo_id_cuenta). ULTIMO y no SUMA: es UNA fila por cuenta. El filtro !=0 es el REVISAR pedido: 3387 declara cero en los cuatro campos con el resto de la fila cargada, y publicar 0 ahi seria una afirmacion falsa. SIN VALIDAR. V-86: 3289 da 5387, exacto contra la lamina 9 publicada.
enc_base_llamada	enc	jm	reuniones	Agenda JM	cc_base_discada		ULTIMO		cc_base_discada!=0		numero			_44 (12/08) - embudo del iceberg contra reuniones/Agenda JM (C-58). Lee la fila del encuentro por D-30 (SOLAPAS.campo_id_cuenta). ULTIMO y no SUMA: es UNA fila por cuenta. El filtro !=0 es el REVISAR pedido: 3387 declara cero en los cuatro campos con el resto de la fila cargada, y publicar 0 ahi seria una afirmacion falsa. SIN VALIDAR. V-86: 3289 da 4726, exacto.
enc_ll_contactados	enc	jm	reuniones	Agenda JM	cc_contactados		ULTIMO		cc_contactados!=0		numero			_44 (12/08) - embudo del iceberg contra reuniones/Agenda JM (C-58). Lee la fila del encuentro por D-30 (SOLAPAS.campo_id_cuenta). ULTIMO y no SUMA: es UNA fila por cuenta. El filtro !=0 es el REVISAR pedido: 3387 declara cero en los cuatro campos con el resto de la fila cargada, y publicar 0 ahi seria una afirmacion falsa. SIN VALIDAR. V-86: 3289 da 1380, exacto.
enc_ll_contactados_pct	enc	jm	reuniones	Agenda JM	cc_contactados_pct		ULTIMO		cc_contactados_pct!=0		fraccion			_44 (12/08) - embudo del iceberg contra reuniones/Agenda JM (C-58). Lee la fila del encuentro por D-30 (SOLAPAS.campo_id_cuenta). ULTIMO y no SUMA: es UNA fila por cuenta. El filtro !=0 es el REVISAR pedido: 3387 declara cero en los cuatro campos con el resto de la fila cargada, y publicar 0 ahi seria una afirmacion falsa. SIN VALIDAR. La base lo trae como fraccion (0,2920): se lee, no se recalcula.
enc_ll_efectivos	enc	jm	reuniones	Agenda JM	cc_efectivos		ULTIMO		cc_efectivos!=0		numero			_44 (12/08) - embudo del iceberg contra reuniones/Agenda JM (C-58). Lee la fila del encuentro por D-30 (SOLAPAS.campo_id_cuenta). ULTIMO y no SUMA: es UNA fila por cuenta. El filtro !=0 es el REVISAR pedido: 3387 declara cero en los cuatro campos con el resto de la fila cargada, y publicar 0 ahi seria una afirmacion falsa. SIN VALIDAR. V-86: 3289 da 1181, exacto.
enc_ll_efectivos_pct	enc	jm	reuniones	Agenda JM	cc_efectivos_pct		ULTIMO		cc_efectivos_pct!=0		fraccion			_44 (12/08) - embudo del iceberg contra reuniones/Agenda JM (C-58). Lee la fila del encuentro por D-30 (SOLAPAS.campo_id_cuenta). ULTIMO y no SUMA: es UNA fila por cuenta. El filtro !=0 es el REVISAR pedido: 3387 declara cero en los cuatro campos con el resto de la fila cargada, y publicar 0 ahi seria una afirmacion falsa. SIN VALIDAR. Fraccion, igual que el de contactados.
enc_alcance_potencial	enc	jm	reuniones	Agenda JM	alc_potencial		ULTIMO		alc_potencial!=0		miles			_44 (12/08) - Alcance objetivo del iceberg, reuniones/Agenda JM col AG. Decision del usuario: cablear con REVISAR en cero. SIN VALIDAR
enc_alcance_pct	enc	jm	reuniones	Agenda JM	alc_cobertura_pct		ULTIMO		alc_cobertura_pct!=0		fraccion			_44 (12/08) - % Cobertura, col AH. OJO: sale 0 en las 14 filas donde Habitantes es el texto Revisar (las de eje, entre ellas 3387 y 3178), y el filtro !=0 las manda a FALTANTES en vez de publicar un cero falso. SIN VALIDAR
